"xexist2"  "yexist2"  "xexist2"  "ynode"  "c#1"  "c#2"  "c#3"  "c#4"  "cannot-link"
"112"  6.92358809273285  5.35400672768249  6.92358809273285  5.31167233338586  0  0  1  0  0
"113"  12.4791436482884  0.714351654598175  12.4791436482884  1.13305806492983  0  0  0  1  0
"114"  17.5296486987935  0.592268614113743  17.5296486987935  0.584431543728749  0  0  0  1  0
"115"  18.034699203844  5.36090498166824  18.034699203844  5.27272732537905  0  1  0  0  0
"116"  23.085204254349  1.64457884999733  23.085204254349  1.15243427372347  0  0  1  0  0
"117"  34.1963153654601  0.0372454898455731  34.1963153654601  6.03649723177177  0  1  0  0  0
"118"  38.7417699109147  6.14745268086364  38.7417699109147  0.27477037766316  0  1  0  0  0
"119"  40.2569214260662  5.99187401450466  40.2569214260662  6.10217168136727  0  0  1  0  0
"120"  46.3175274866723  5.90746964127485  46.3175274866723  5.48879334805262  0  0  1  0  0
"121"  47.8326790018238  0.769383408119694  47.8326790018238  0.77329827681163  1  0  0  0  1
"122"  9.95389112303589  0.370129135105639  9.95389112303589  0.472058808099359  1  0  0  0  0
"123"  25.105406274551  6.25882269931788  25.105406274551  0.141603600231159  0  1  0  0  0
"124"  27.1256082947531  0.865704902642804  27.1256082947531  0.385094501506003  1  0  0  0  0
"125"  30.6609618301066  5.55065480588864  30.6609618301066  5.36646152047369  0  0  1  0  0
"126"  32.6811638503086  0.355967858540514  32.6811638503086  0.686120652560764  0  0  1  0  0
"127"  37.7316689008137  0.0412993610626532  37.7316689008137  5.95111951817615  0  0  0  1  0
"128"  40.7619719311167  4.38377384862807  40.7619719311167  4.65859355286639  0  0  1  0  0
"129"  42.2771234462682  0.644982217757684  42.2771234462682  0.178892348839623  1  0  0  0  0
"130"  45.3074264765712  6.12539506196511  45.3074264765712  0.140398300061007  0  1  0  0  1
"131"  3.89328506242982  0.064790468382993  3.89328506242982  6.01454733774101  0  1  0  0  1
"132"  23.5902547593995  1.17524254007639  23.5902547593995  1.60848276119122  1  0  0  0  0
"133"  25.6104567796015  5.46101197379612  25.6104567796015  5.87237788935162  0  1  0  0  0
"134"  26.115507284652  4.96736387857967  26.115507284652  5.29905600865171  0  1  0  0  0
"135"  28.1357093048541  1.00550374715564  28.1357093048541  0.975731820575642  0  1  0  0  0
"136"  32.6811638503086  0.355967858540514  32.6811638503086  0.514559101280445  0  0  0  1  0
"137"  34.1963153654601  0.0372454898455731  34.1963153654601  0.497228968145846  0  1  0  0  0
"138"  41.7720729412177  6.13459080702228  41.7720729412177  0.323834058004181  1  0  0  0  1
